Team,Seed,AdjO,AdjD,Off_PPG,Def_PPG,Pace,eFG_Off,eFG_Def,TO_Off,TO_Def,TRB,ORB,3PAr,FTr,SOS,Wins,Losses,HomeW,HomeL,AwayW,AwayL,Momentum,Intuition,AdjOffSQ,AdjDefSQ,Rim3Rate,KillShotsScored,KillShotsConceded,BPR,PaceVar,RecentForm
Gardner-Webb,0.0,104.1,0.0,0.0,0.0,67.7,0.518,0.0,15.9,0.0,49.7,27.1,0.39,0.354,-5.83,0,0,0,0,0,0,0.0,0.0,105.42154907205774,96.37139256347508,0.5346985705669678,8.5,4.5,5.2913397370228346,3.2892407740357275,2.300176855020304
George Mason,0.0,99.2,0.0,0.0,0.0,67.4,0.476,0.0,17.2,0.0,52.5,33.1,0.345,0.344,1.48,0,0,0,0,0,0,0.0,0.0,102.97818545945073,104.25243236152359,0.5961372032662482,6.0,8.5,0.6431972241788178,4.323365638344355,2.717669200112426
George Washington,0.0,96.4,0.0,0.0,0.0,66.6,0.49,0.0,17.4,0.0,48.3,23.0,0.425,0.328,0.92,0,0,0,0,0,0,0.0,0.0,99.3934862759463,100.30127808516687,0.3795946228415465,9.7,6.4,-3.1988520128929023,4.258808594047897,2.117740589750441
Georgetown,0.0,104.3,0.0,0.0,0.0,71.6,0.491,0.0,16.3,0.0,52.1,32.4,0.31,0.339,9.6,0,0,0,0,0,0,0.0,0.0,102.58022803676616,102.16986422228129,0.5945185415335397,6.6,8.1,2.0251815915622307,1.8666918563822554,2.8344784187084633
Georgia,0.0,103.7,0.0,0.0,0.0,72.0,0.508,0.0,17.3,0.0,51.4,32.3,0.383,0.334,8.06,0,0,0,0,0,0,0.0,0.0,103.85786477247012,100.4496831123284,0.3938847663457224,10.6,6.5,2.441719990380655,3.392746187566033,-1.834719051801257
Georgia Southern,0.0,103.1,0.0,0.0,0.0,73.3,0.507,0.0,15.6,0.0,48.5,26.6,0.4,0.364,-0.83,0,0,0,0,0,0,0.0,0.0,106.35834978998592,104.54804063969982,0.3060518418438482,5.2,5.5,1.3889010409289855,1.7506681535995972,0.8662704025693628
Georgia State,0.0,104.7,0.0,0.0,0.0,74.0,0.508,0.0,16.4,0.0,49.7,31.6,0.383,0.312,0.13,0,0,0,0,0,0,0.0,0.0,108.02802128469848,103.44147766751766,0.5337214500051332,10.6,3.9,0.11147879994280796,4.42124051581561,-2.9945291926647735
Georgia Tech,0.0,96.3,0.0,0.0,0.0,70.7,0.499,0.0,20.0,0.0,51.7,29.4,0.299,0.345,9.19,0,0,0,0,0,0,0.0,0.0,94.57971545597105,96.43648676949621,0.4636192429807772,8.7,6.2,-3.363806509408475,4.285412732826615,-0.39884309217977454
Gonzaga,0.0,120.1,0.0,0.0,0.0,72.5,0.575,0.0,13.2,0.0,56.6,33.7,0.313,0.388,3.13,0,0,0,0,0,0,0.0,0.0,122.00077900529747,99.90847587746605,0.4116957793041981,10.6,7.0,10.479128136576094,4.024945871951544,-2.7823928551519757
Grambling,0.0,99.2,0.0,0.0,0.0,71.8,0.495,0.0,17.4,0.0,51.9,30.5,0.275,0.368,-9.79,0,0,0,0,0,0,0.0,0.0,103.46118041730264,104.23723462851753,0.34214405405634263,10.4,5.7,-4.3722277772832925,2.2493154373070006,2.3242169268129116
Grand Canyon,0.0,103.2,0.0,0.0,0.0,67.8,0.506,0.0,15.1,0.0,48.2,23.0,0.33,0.372,-4.05,0,0,0,0,0,0,0.0,0.0,104.20214337005362,99.4518811247055,0.5169684854342744,6.6,3.9,4.89371783657298,2.2668311008125537,1.3335880599615357
Green Bay,0.0,107.3,0.0,0.0,0.0,75.3,0.519,0.0,14.5,0.0,48.5,26.8,0.324,0.317,-2.8,0,0,0,0,0,0,0.0,0.0,107.23305319599326,103.56818511389277,0.5452181361460692,12.1,7.9,2.612964615912242,3.7311813329179664,-2.9874448691221067
Hampton,0.0,107.0,0.0,0.0,0.0,71.9,0.509,0.0,14.1,0.0,49.5,28.2,0.317,0.405,-5.8,0,0,0,0,0,0,0.0,0.0,106.24237336224915,102.63674585418102,0.5233023012174681,12.5,7.9,3.062076879972178,4.413135552952247,1.3721603222044356
Hartford,0.0,96.0,0.0,0.0,0.0,69.2,0.486,0.0,17.3,0.0,47.0,22.9,0.401,0.309,-6.02,0,0,0,0,0,0,0.0,0.0,100.37636619992975,102.83677628631438,0.5005681956800445,8.2,5.6,-1.500191803981418,3.764310715014943,-0.28377200024248816
Harvard,0.0,104.0,0.0,0.0,0.0,68.9,0.516,0.0,17.2,0.0,53.4,30.4,0.378,0.322,-1.55,0,0,0,0,0,0,0.0,0.0,101.15950086748697,100.1204887555699,0.4053802315711861,7.7,5.8,3.068696649375396,4.363766605922114,-2.765978078303841
Hawaii,0.0,99.1,0.0,0.0,0.0,68.9,0.489,0.0,16.6,0.0,50.1,27.8,0.38,0.315,-2.1,0,0,0,0,0,0,0.0,0.0,96.51656246097372,96.95175671528446,0.4311948926015286,5.0,4.7,-0.9629595888569601,3.8131649420923104,2.946487101247909
High Point,0.0,96.7,0.0,0.0,0.0,67.7,0.463,0.0,18.0,0.0,51.3,32.2,0.354,0.4,-5.34,0,0,0,0,0,0,0.0,0.0,101.37440534713201,98.31178743569447,0.33646284389577463,8.7,4.3,-4.367745128173809,3.6456285543732125,-0.8634376864419133
Hofstra,0.0,110.9,0.0,0.0,0.0,68.9,0.52,0.0,14.2,0.0,50.8,30.3,0.378,0.336,-3.85,0,0,0,0,0,0,0.0,0.0,105.84749212833557,99.43899180356468,0.5978450884222691,12.9,4.9,4.681092059665596,3.4130380388267723,2.990118701815158
Holy Cross,0.0,94.5,0.0,0.0,0.0,68.9,0.491,0.0,18.3,0.0,47.6,25.1,0.377,0.252,-4.26,0,0,0,0,0,0,0.0,0.0,99.08803168410522,100.6989928266123,0.4994918017269001,5.8,5.3,-3.4787742012071305,3.3975059817808777,-2.531099015338315
Houston,0.0,107.8,0.0,0.0,0.0,66.8,0.48,0.0,14.6,0.0,56.5,38.7,0.343,0.329,6.3,0,0,0,0,0,0,0.0,0.0,104.93426042511915,103.66499757371803,0.43917928476756,11.7,6.0,2.949643137159707,4.4173677718774815,-1.0836631782745152
Houston Christian,0.0,102.3,0.0,0.0,0.0,78.0,0.503,0.0,18.6,0.0,49.4,32.2,0.33,0.38,-3.62,0,0,0,0,0,0,0.0,0.0,98.04763614140633,100.6623456464191,0.3796259461791416,8.1,5.1,-3.4395155083252718,3.5103196365335467,-0.8654139875131497
Howard,0.0,96.0,0.0,0.0,0.0,71.9,0.485,0.0,17.9,0.0,45.0,26.4,0.374,0.331,-7.98,0,0,0,0,0,0,0.0,0.0,98.59605903059082,95.41107094494666,0.569164283339019,10.5,9.0,-1.9669390443792185,3.714233411846995,0.03264328020519347
Idaho,0.0,93.8,0.0,0.0,0.0,69.3,0.484,0.0,18.1,0.0,49.7,24.4,0.26,0.301,-2.1,0,0,0,0,0,0,0.0,0.0,92.69138794082633,103.42595158280857,0.4902575568501887,10.7,6.3,-7.464079512419163,2.8570768957638344,1.6978830864307424
Idaho State,0.0,101.8,0.0,0.0,0.0,67.7,0.514,0.0,17.3,0.0,50.6,29.3,0.331,0.349,-1.62,0,0,0,0,0,0,0.0,0.0,98.47478789161651,102.57120014947108,0.33874986389324746,5.8,7.3,0.7461918994493055,1.8348183660451258,1.410844952037403
Illinois,0.0,106.6,0.0,0.0,0.0,67.5,0.491,0.0,15.0,0.0,55.3,35.8,0.309,0.332,9.84,0,0,0,0,0,0,0.0,0.0,104.97850908718922,97.20614385644627,0.5566075131146643,6.0,7.7,2.65058832969784,3.188112108750469,0.5614026227189155
Illinois State,0.0,96.3,0.0,0.0,0.0,68.4,0.498,0.0,18.6,0.0,48.9,25.6,0.416,0.252,1.97,0,0,0,0,0,0,0.0,0.0,94.18214588382378,96.27489109256524,0.5628943840067303,11.0,6.5,1.546335179396178,2.7984894530140205,-0.1807827660977428
Illinois-Chicago,0.0,97.4,0.0,0.0,0.0,70.5,0.507,0.0,19.5,0.0,51.3,27.9,0.377,0.294,-3.8,0,0,0,0,0,0,0.0,0.0,94.58185013841388,97.83395808639716,0.5297988145451346,6.0,5.4,-2.6625078918710052,2.347797141400326,1.8191876827142375
Incarnate Word,0.0,94.0,0.0,0.0,0.0,69.2,0.471,0.0,19.1,0.0,47.1,27.6,0.358,0.321,-6.85,0,0,0,0,0,0,0.0,0.0,92.64963214687215,104.02609025611429,0.5492763888071196,10.0,7.5,-4.767501282591399,3.418164067091879,-2.0186082423430856
Indiana,0.0,103.6,0.0,0.0,0.0,68.7,0.493,0.0,15.7,0.0,54.0,32.4,0.296,0.392,10.35,0,0,0,0,0,0,0.0,0.0,107.41218954692751,95.47131096006261,0.5621363160652134,6.4,8.0,2.95550768838003,4.1897420737392705,-2.45767680172435
Indiana State,0.0,102.9,0.0,0.0,0.0,66.2,0.517,0.0,15.5,0.0,49.2,23.5,0.343,0.329,1.81,0,0,0,0,0,0,0.0,0.0,102.00291491828057,101.95050968826314,0.3051205463099938,6.9,8.5,-0.741072818254727,2.872173728136897,0.048079007196409895
Iona,0.0,100.7,0.0,0.0,0.0,68.6,0.51,0.0,18.3,0.0,48.5,25.1,0.424,0.337,-5.37,0,0,0,0,0,0,0.0,0.0,100.910550188157,96.74784309311566,0.5322009948670534,11.0,6.3,-2.4625735128185235,3.4841784008046996,-1.557391082807314
Iowa,0.0,110.2,0.0,0.0,0.0,70.6,0.516,0.0,14.7,0.0,51.5,32.0,0.376,0.344,10.62,0,0,0,0,0,0,0.0,0.0,114.49212996084619,101.32829734406454,0.5960238805481605,9.5,5.2,5.023197420480413,2.075426143541339,2.9627538315939965
Iowa State,0.0,101.8,0.0,0.0,0.0,70.4,0.498,0.0,16.4,0.0,48.9,29.2,0.377,0.285,10.07,0,0,0,0,0,0,0.0,0.0,103.9268688399848,95.51961591115345,0.42128126308749586,12.1,7.4,3.2925515556468303,4.293401165445679,-1.9893722309159005
IU Indy,0.0,97.3,0.0,0.0,0.0,71.9,0.478,0.0,16.6,0.0,47.7,29.3,0.387,0.316,-3.39,0,0,0,0,0,0,0.0,0.0,97.86047135688949,99.44518585935988,0.40655128097158844,7.7,8.7,0.38107034464600886,4.1510938501098025,-0.6058684057783543
Jackson State,0.0,94.6,0.0,0.0,0.0,71.1,0.463,0.0,15.9,0.0,47.9,26.2,0.292,0.35,-8.61,0,0,0,0,0,0,0.0,0.0,92.62891952108679,95.85421652430907,0.5019596743371734,7.4,7.7,-0.9485894209918981,2.685185118328128,-2.354400196652856
Jacksonville,0.0,97.7,0.0,0.0,0.0,67.6,0.486,0.0,17.5,0.0,52.5,29.2,0.355,0.311,-5.63,0,0,0,0,0,0,0.0,0.0,97.36786587199852,96.98379052510148,0.3499266414215333,10.8,9.0,-2.3186874919568004,2.762365518758518,0.514032674707589
Jacksonville State,0.0,102.1,0.0,0.0,0.0,70.0,0.506,0.0,17.3,0.0,52.8,31.4,0.359,0.291,-6.36,0,0,0,0,0,0,0.0,0.0,101.77357645505012,95.27121760539801,0.3789930162808286,6.0,6.8,0.4568881368412605,4.378424664936856,-2.297544372805085
James Madison,0.0,99.7,0.0,0.0,0.0,72.1,0.484,0.0,15.1,0.0,49.7,26.2,0.403,0.365,-2.78,0,0,0,0,0,0,0.0,0.0,104.11877277405374,96.94980832714089,0.36606613724072573,8.2,5.5,0.11370966945716815,4.098662310535588,-1.6122562816268873
Kansas,0.0,109.4,0.0,0.0,0.0,67.9,0.541,0.0,16.2,0.0,54.7,32.8,0.329,0.35,11.63,0,0,0,0,0,0,0.0,0.0,110.50814265397231,96.44709237201221,0.49323467951604644,7.0,4.3,5.415211004824773,4.1810116745551325,-0.5250771025117174
Kansas City,0.0,102.6,0.0,0.0,0.0,66.7,0.521,0.0,16.9,0.0,48.2,26.0,0.354,0.293,-3.62,0,0,0,0,0,0,0.0,0.0,102.49227370919392,95.27012296724887,0.36732483952407324,10.2,6.5,-0.6860249402425562,2.0133541452263444,0.5270037924428597
Kansas State,0.0,95.1,0.0,0.0,0.0,67.2,0.475,0.0,18.4,0.0,48.9,29.6,0.391,0.347,9.48,0,0,0,0,0,0,0.0,0.0,92.60815022410284,104.40580919994214,0.32723092882644056,8.2,5.3,-0.989198583605922,3.1973539077303617,1.4898787368264765
Kennesaw State,0.0,81.1,0.0,0.0,0.0,68.1,0.393,0.0,19.0,0.0,45.9,25.8,0.309,0.325,-2.63,0,0,0,0,0,0,0.0,0.0,77.15311720778573,101.09219826622022,0.42853453082388315,9.2,11.0,-8.953470979526884,4.3370333101324245,1.6799012252792316
Kent State,0.0,107.2,0.0,0.0,0.0,70.1,0.523,0.0,15.5,0.0,50.7,30.7,0.405,0.283,-0.72,0,0,0,0,0,0,0.0,0.0,110.2514259292655,98.73082127166101,0.39787481985300893,10.6,5.4,3.446763283295948,3.6862687088801875,-0.008819914557809172
Kentucky,0.0,107.8,0.0,0.0,0.0,68.5,0.507,0.0,15.8,0.0,53.0,30.8,0.266,0.408,7.46,0,0,0,0,0,0,0.0,0.0,111.81934375808889,102.71364104859428,0.5241946500270815,8.7,6.5,2.876248612891689,2.364404974026092,2.064114058284332
La Salle,0.0,96.2,0.0,0.0,0.0,69.8,0.484,0.0,18.1,0.0,49.6,28.6,0.416,0.331,1.71,0,0,0,0,0,0,0.0,0.0,100.264477058346,103.29228488114386,0.3917681143369015,7.9,9.0,-1.721471765163322,2.925654149190896,-1.207247987533298
Lafayette,0.0,103.6,0.0,0.0,0.0,67.7,0.527,0.0,16.0,0.0,49.7,23.4,0.439,0.239,-5.94,0,0,0,0,0,0,0.0,0.0,98.9136871931973,102.77491311074489,0.49155039506999904,10.8,8.3,-0.5635269724535994,3.9652917818584634,1.9496581815426348
Lamar,0.0,99.9,0.0,0.0,0.0,71.7,0.486,0.0,17.4,0.0,49.1,30.8,0.301,0.344,-6.45,0,0,0,0,0,0,0.0,0.0,104.68038522408946,99.69530690464647,0.32634091956914285,5.6,8.9,-3.4719211192004855,2.824043235385016,1.1978976463376636
Lehigh,0.0,97.5,0.0,0.0,0.0,69.5,0.496,0.0,17.6,0.0,50.7,26.3,0.291,0.26,-3.9,0,0,0,0,0,0,0.0,0.0,100.126264675412,99.14121487040893,0.4975290144944287,10.0,4.7,-2.1305379380639167,1.7725827448347338,-2.1164598930728173
Liberty,0.0,111.8,0.0,0.0,0.0,61.3,0.553,0.0,13.6,0.0,53.2,24.8,0.405,0.312,-7.26,0,0,0,0,0,0,0.0,0.0,112.06483645258795,100.27573364433933,0.3609982954584468,9.4,4.0,0.9294526148765643,1.8013252417402794,-0.17092753811553907
Lipscomb,0.0,102.0,0.0,0.0,0.0,68.8,0.51,0.0,16.3,0.0,50.4,27.1,0.346,0.288,-4.45,0,0,0,0,0,0,0.0,0.0,105.39808075705346,103.05559563813524,0.4635296805079928,5.6,7.8,3.9647586979617833,2.6305872508372294,-1.0743210146773585
Little Rock,0.0,104.4,0.0,0.0,0.0,70.2,0.527,0.0,19.3,0.0,52.2,30.7,0.328,0.45,-1.07,0,0,0,0,0,0,0.0,0.0,109.22862825505091,101.79805547100081,0.4134837300191905,7.3,6.0,2.4638484052668628,2.9756801026561845,2.510292390430794
Long Beach State,0.0,93.1,0.0,0.0,0.0,71.8,0.484,0.0,19.9,0.0,48.0,25.4,0.298,0.34,1.08,0,0,0,0,0,0,0.0,0.0,90.6362112994397,100.63537106777135,0.36727668388447243,5.2,6.5,-2.811136561761402,1.5974901131377321,1.0210272358809354
Long Island University,0.0,101.2,0.0,0.0,0.0,73.9,0.52,0.0,16.9,0.0,46.2,21.5,0.461,0.326,-6.16,0,0,0,0,0,0,0.0,0.0,100.45521561639895,100.94320068640765,0.4015380380578983,6.8,5.6,3.0365954040498733,2.868249923659684,-1.4968789620188572
Longwood,0.0,96.5,0.0,0.0,0.0,68.5,0.487,0.0,17.5,0.0,48.7,23.6,0.481,0.332,-9.31,0,0,0,0,0,0,0.0,0.0,100.23249386828225,96.79563013957521,0.41828213918610097,8.3,6.6,-1.5842055211405162,3.334462204522387,-1.4875886490657508
Louisiana,0.0,100.1,0.0,0.0,0.0,72.8,0.484,0.0,16.8,0.0,49.3,29.0,0.409,0.346,-0.67,0,0,0,0,0,0,0.0,0.0,95.71756191866041,101.19025770207641,0.5203316045608037,10.8,7.0,0.30202774946633304,3.4269346534427543,-1.04630179076524
Louisiana State,0.0,112.8,0.0,0.0,0.0,70.8,0.527,0.0,15.1,0.0,54.3,35.1,0.343,0.354,7.2,0,0,0,0,0,0,0.0,0.0,112.08467365979571,103.8433056355174,0.39328631218287313,11.2,4.7,5.415027441060712,3.0499377958604375,2.821840500486768
Louisiana Tech,0.0,108.3,0.0,0.0,0.0,68.2,0.537,0.0,15.7,0.0,51.9,30.3,0.399,0.29,-1.48,0,0,0,0,0,0,0.0,0.0,107.81030619100103,98.02533672718118,0.3853305240116436,12.0,6.4,5.254729029190575,2.736504555133804,-0.642105919021245
Louisiana-Monroe,0.0,94.9,0.0,0.0,0.0,66.2,0.478,0.0,18.0,0.0,49.2,27.0,0.346,0.325,-0.16,0,0,0,0,0,0,0.0,0.0,97.14253554371767,104.49569166447334,0.3099446834647864,9.8,5.9,0.6069223663133441,1.8448730735959944,-0.24595879825941824
Louisville,0.0,109.4,0.0,0.0,0.0,67.1,0.525,0.0,15.4,0.0,54.5,32.0,0.38,0.322,7.55,0,0,0,0,0,0,0.0,0.0,110.70138655989612,102.6494916678579,0.4367122232139459,11.1,4.5,7.520474076378806,2.3317364040760715,0.46258331364654937
Loyola (IL),0.0,103.4,0.0,0.0,0.0,65.7,0.554,0.0,17.7,0.0,49.7,21.4,0.312,0.387,0.54,0,0,0,0,0,0,0.0,0.0,101.3993756119323,102.0010456589104,0.5498559337626983,9.1,6.6,4.884449095817079,2.456183032001043,2.3712274695460733
Loyola (MD),0.0,102.2,0.0,0.0,0.0,71.3,0.525,0.0,17.0,0.0,49.2,25.9,0.372,0.419,-7.23,0,0,0,0,0,0,0.0,0.0,98.76029583467508,96.01937859134681,0.5981511182337629,6.4,7.4,3.3937602428794698,2.31869033001791,2.033229851945029
Loyola Marymount,0.0,98.9,0.0,0.0,0.0,64.7,0.518,0.0,19.3,0.0,50.6,27.5,0.347,0.347,3.88,0,0,0,0,0,0,0.0,0.0,96.54041935217376,100.37591054845862,0.5856762365787713,10.5,6.6,-3.548192583402479,2.601205362480785,-2.5148077549930585
Maine,0.0,92.1,0.0,0.0,0.0,66.2,0.468,0.0,19.6,0.0,50.4,28.5,0.432,0.266,-3.71,0,0,0,0,0,0,0.0,0.0,89.28381086157312,100.16541448781915,0.3241375791470381,9.7,6.8,-0.179096382501152,3.9165483769470857,-0.14044529487191104
Manhattan,0.0,92.8,0.0,0.0,0.0,66.3,0.457,0.0,17.9,0.0,49.2,30.1,0.398,0.341,-6.26,0,0,0,0,0,0,0.0,0.0,93.20203754757982,102.47357059294042,0.5634279994386188,7.1,6.1,-5.236191512272735,3.571691096390107,1.3765884613751973
Marist,0.0,90.5,0.0,0.0,0.0,65.5,0.459,0.0,18.4,0.0,49.3,25.9,0.4,0.297,-7.08,0,0,0,0,0,0,0.0,0.0,93.49247913068051,98.23344275004776,0.4211902375792521,6.6,8.3,-3.346342984649117,2.46834605193481,2.244883500743094
Marquette,0.0,107.2,0.0,0.0,0.0,71.4,0.516,0.0,16.4,0.0,53.2,29.8,0.446,0.392,9.3,0,0,0,0,0,0,0.0,0.0,104.17983741168554,97.71686309724988,0.46093830139672437,9.7,4.9,3.5393964379051357,3.8930751227819105,0.31875815551660924
Marshall,0.0,100.1,0.0,0.0,0.0,75.5,0.503,0.0,17.0,0.0,48.5,27.9,0.386,0.29,-0.05,0,0,0,0,0,0,0.0,0.0,104.64984230486434,96.98893174933933,0.3151761792221423,9.8,8.6,-0.5029495424335323,2.86727355175067,-2.637444590858001
Maryland,0.0,106.0,0.0,0.0,0.0,67.7,0.486,0.0,14.3,0.0,52.9,31.5,0.431,0.377,10.5,0,0,0,0,0,0,0.0,0.0,102.7074506047895,101.33506591288901,0.3852078248516869,9.8,6.4,5.240884110573549,1.6165799391254603,0.17481869622931812
Maryland-Baltimore County,0.0,100.1,0.0,0.0,0.0,68.0,0.505,0.0,16.3,0.0,49.9,26.1,0.392,0.332,-4.43,0,0,0,0,0,0,0.0,0.0,102.29526871435868,103.26006586225857,0.5325866790315129,9.3,4.5,-2.842143516031948,3.986104391256659,2.900119219785637
Maryland-Eastern Shore,0.0,82.0,0.0,0.0,0.0,69.6,0.412,0.0,18.5,0.0,46.2,26.1,0.399,0.256,-6.45,0,0,0,0,0,0,0.0,0.0,79.21009630939571,95.14279363332967,0.47481723174235585,5.1,5.9,-10.45526597196675,3.33235424441139,-0.5719646579249691
Massachusetts,0.0,98.2,0.0,0.0,0.0,69.2,0.492,0.0,16.7,0.0,47.3,25.7,0.402,0.299,3.79,0,0,0,0,0,0,0.0,0.0,99.98653453595036,102.18641134287245,0.32702972514345313,5.0,5.5,2.021670022641008,3.602572859229125,1.4094660380531958
Massachusetts-Lowell,0.0,104.0,0.0,0.0,0.0,70.9,0.519,0.0,16.6,0.0,49.2,27.5,0.358,0.376,-5.35,0,0,0,0,0,0,0.0,0.0,103.55546055311623,97.56852316300572,0.5438499634269102,9.0,7.6,0.40989060520869747,4.276644944801722,1.9308837918959043
McNeese State,0.0,109.7,0.0,0.0,0.0,71.8,0.57,0.0,19.3,0.0,52.3,31.7,0.368,0.338,-6.93,0,0,0,0,0,0,0.0,0.0,110.37795179580998,96.4037392566982,0.5397648392046459,6.7,6.3,6.371860628668891,2.1977365236813693,1.9940665066655123
Memphis,0.0,97.7,0.0,0.0,0.0,73.1,0.497,0.0,19.6,0.0,52.2,30.0,0.352,0.399,5.07,0,0,0,0,0,0,0.0,0.0,101.04496869263154,98.25494467833373,0.49773132141055265,9.4,4.9,-1.8951256120835842,4.3184242828838055,-0.20380188045616032
Mercer,0.0,101.9,0.0,0.0,0.0,70.4,0.515,0.0,17.9,0.0,53.2,31.1,0.364,0.26,-2.7,0,0,0,0,0,0,0.0,0.0,103.74807774836269,101.11147045014953,0.3140844766691528,8.7,8.0,-0.8143256566842336,4.0203173196357325,-2.0735102315569547
Merrimack,0.0,96.4,0.0,0.0,0.0,64.4,0.493,0.0,16.3,0.0,43.8,23.2,0.433,0.254,-6.53,0,0,0,0,0,0,0.0,0.0,95.15793544260525,97.92852940733239,0.3422053602779917,5.8,6.7,-3.385366472247316,4.327368295586863,0.28016977716593705
Miami (FL),0.0,101.2,0.0,0.0,0.0,68.7,0.488,0.0,15.1,0.0,47.2,26.0,0.372,0.281,8.66,0,0,0,0,0,0,0.0,0.0,104.82912912927195,98.62128199469342,0.36040275325487203,7.1,6.1,2.0562076022907076,3.854775078152162,-1.4088798973597823
Miami (OH),0.0,102.5,0.0,0.0,0.0,69.2,0.494,0.0,14.4,0.0,48.8,25.9,0.412,0.267,-0.57,0,0,0,0,0,0,0.0,0.0,100.95942013399667,104.3533212722479,0.46762081518194404,10.9,8.4,6.515780218024493,4.269536279506638,-1.0488442439408647
Michigan,0.0,107.0,0.0,0.0,0.0,69.3,0.528,0.0,13.6,0.0,50.6,25.0,0.391,0.267,11.17,0,0,0,0,0,0,0.0,0.0,101.93132815574376,100.25451372685208,0.4151187389776059,11.0,4.7,2.753268576879883,3.1462651767281766,0.6931592609065056
Michigan State,0.0,109.4,0.0,0.0,0.0,69.4,0.526,0.0,15.6,0.0,55.1,32.8,0.375,0.308,10.76,0,0,0,0,0,0,0.0,0.0,112.71116468793966,100.83881451076577,0.350245241938984,11.1,5.6,5.082372684999051,4.440550927986841,1.5830551699143405
Middle Tennessee,0.0,98.5,0.0,0.0,0.0,71.2,0.488,0.0,17.0,0.0,49.0,28.1,0.412,0.311,0.84,0,0,0,0,0,0,0.0,0.0,95.13743336631109,99.98138934523726,0.5826823194919285,10.6,7.8,-0.24353383216661195,3.7788480174840546,2.108563231613712
Milwaukee,0.0,99.2,0.0,0.0,0.0,70.6,0.476,0.0,16.1,0.0,49.1,29.5,0.395,0.295,-3.91,0,0,0,0,0,0,0.0,0.0,99.265697388113,98.87228332279946,0.35810901642158616,5.1,6.0,1.1369292035427867,2.1450910702690544,2.415902582227009
Minnesota,0.0,104.9,0.0,0.0,0.0,67.3,0.494,0.0,14.2,0.0,52.1,31.3,0.407,0.275,11.55,0,0,0,0,0,0,0.0,0.0,106.16585818401701,97.16467970903678,0.3377518344267886,6.6,7.8,3.716844690338694,3.344794036658056,1.2828844290216252
Mississippi,0.0,99.5,0.0,0.0,0.0,68.8,0.486,0.0,16.7,0.0,49.2,26.2,0.337,0.368,6.9,0,0,0,0,0,0,0.0,0.0,102.49670899543436,102.57077747678483,0.48540889632338113,11.6,7.9,-1.2434790235941042,2.6297018475957827,2.860345138879201
Mississippi State,0.0,109.0,0.0,0.0,0.0,67.3,0.515,0.0,17.5,0.0,55.1,37.0,0.28,0.395,6.96,0,0,0,0,0,0,0.0,0.0,106.22692631040171,103.38160090401871,0.35123112323226696,6.7,6.1,7.7483387149402,3.732581914323665,-0.9925410651007505
Mississippi Valley State,0.0,86.1,0.0,0.0,0.0,78.9,0.43,0.0,16.1,0.0,42.2,23.4,0.412,0.229,-7.68,0,0,0,0,0,0,0.0,0.0,81.95916930494406,97.79907052487563,0.3231525923802183,7.8,8.1,-4.240252510331988,1.9282476891254872,0.654064600753232
Missouri,0.0,99.3,0.0,0.0,0.0,67.1,0.47,0.0,18.0,0.0,51.5,31.4,0.404,0.357,6.54,0,0,0,0,0,0,0.0,0.0,95.89257163390494,104.2252315907221,0.4647042242682579,7.8,4.7,-2.336665009909121,3.8929855366861514,-1.4245904611595208
Missouri State,0.0,102.6,0.0,0.0,0.0,68.6,0.498,0.0,17.0,0.0,54.6,31.9,0.338,0.288,0.71,0,0,0,0,0,0,0.0,0.0,104.82436568297018,104.97928641815066,0.3428108475504644,5.2,7.3,3.478520128257309,4.119976943937795,-2.2503594381743603
Monmouth,0.0,98.5,0.0,0.0,0.0,72.1,0.471,0.0,15.6,0.0,47.1,25.5,0.369,0.356,-5.19,0,0,0,0,0,0,0.0,0.0,102.46191230162682,102.25423033124783,0.48492578402833286,6.9,8.0,-0.1320808922318759,2.936235079293721,0.11216684261426924
Montana,0.0,100.8,0.0,0.0,0.0,69.4,0.522,0.0,15.6,0.0,48.0,19.6,0.273,0.264,-1.52,0,0,0,0,0,0,0.0,0.0,98.51821617278452,103.68095556706788,0.5696337773350322,10.0,4.5,1.1355091255353502,2.6961618752609513,-2.1353302380205577
Montana State,0.0,97.8,0.0,0.0,0.0,68.2,0.498,0.0,18.5,0.0,50.9,22.9,0.328,0.374,-2.29,0,0,0,0,0,0,0.0,0.0,98.56867872219563,99.9282229722233,0.45605263484790515,10.0,5.2,-1.2031285563767589,1.582674367940485,0.7295682934234713
Morehead State,0.0,98.7,0.0,0.0,0.0,69.1,0.483,0.0,15.5,0.0,50.4,29.0,0.336,0.307,-6.42,0,0,0,0,0,0,0.0,0.0,96.80825941045558,101.59105584139998,0.4252435328053601,8.1,4.1,0.20448807092699595,3.309147024042389,-0.8976803166878675
Morgan State,0.0,97.4,0.0,0.0,0.0,71.4,0.468,0.0,19.2,0.0,53.0,35.1,0.312,0.392,-9.18,0,0,0,0,0,0,0.0,0.0,100.23539143928959,104.37832327635996,0.3367856658785857,10.2,8.1,-2.6992830949925795,3.0085179329173237,-0.7553280981668054
Mount St. Mary's,0.0,98.3,0.0,0.0,0.0,64.5,0.462,0.0,15.4,0.0,50.0,29.6,0.383,0.337,-6.47,0,0,0,0,0,0,0.0,0.0,102.32379085290177,102.42087113847471,0.5991002275095249,11.5,7.4,-0.22135278668922798,2.275063907673508,1.1140489891690992
